Job Title,Location,Rating,monthly,min_salary_rupees,max_salary_rupees,avg_salary_rupees,company_name_cleaned
LLM - Machine Learning TensorFlow + JAX,Remote,,0,1500000,2500000,2000000.0,Nithminds Private limited
Data Science Tutor,Thiruvananthapuram,4.2,1,8000,15000,11500.0,Avodha Edutech Pvt Ltd
AI & ML Engineer,Calcutta,4.7,0,200000,700000,450000.0,Geogo Techsolutions
Lead - Data Analytics and Insights,Bengaluru,4.1,0,1000000,1000000,1000000.0,Fidelity Investments
AI/ML Engineer,Hyderābād,4.2,0,600000,900000,750000.0,Hewlett Packard Enterprise
Atmospheric Scientist/Statistician I,Hyderābād,4.0,0,500000,700000,600000.0,Verisk
EDU Manager-RAMS-Data Analytics,Bengaluru,3.8,0,500000,600000,550000.0,ALSTOM
"VP, RC AI and Analytics",Calcutta,3.9,0,200000,900000,550000.0,HSBC
Storm Surge Specialist using Machine Learning,Hyderābād,4.0,0,300000,700000,500000.0,Verisk
Staff Analytics SpecialistNew,Bengaluru,3.6,0,1000000,1000000,1000000.0,Razorpay
IN-Manager_Azure Data Engineer_Data & Analytics_Advisory_Noida,Noida,3.7,0,700000,1000000,850000.0,PwC
"Sr. Analyst, Marketing Strategy & Analytics",Bengaluru,3.7,0,200000,300000,250000.0,Zscaler
Data Scientist,Chennai,4.0,0,500000,900000,700000.0,Ford Motor Company
Data Scientist,Bengaluru,4.1,0,400000,900000,650000.0,GE Aerospace
Data Scientist (Credit),Bengaluru,3.8,0,900000,1000000,950000.0,Revolut
Data Science Researcher/SME,Noida,5.0,1,20000,30000,25000.0,Isad group
"Senior Data Scientist - AIML, Cloud, PowerBI",Noida,3.5,0,300000,1000000,650000.0,Optum
Data Science Mentor,Remote,4.4,1,15000,20000,17500.0,UniConverge Technologies Pvt. Ltd.
Experienced Data Scientist,Bengaluru,3.7,0,600000,800000,700000.0,BOEING
Senior Data Scientist,Coimbatore,4.0,0,400000,800000,600000.0,"EPAM Systems, Inc."
MIS cum Analyst,Noida,3.9,0,100000,300000,200000.0,IKM Investors Private Limited
Experienced AI/ML Engineer,Remote,4.4,0,400000,800000,600000.0,D3V Technology Solutions
Senior Data Scientist,Bengaluru,3.9,0,400000,800000,600000.0,Takeda Pharmaceutical
AI/ML Developer,Ahmedabad,,0,400000,700000,550000.0,Shayona Technology
Senior Analyst-Data Analytics,Gurgaon,4.1,0,200000,300000,250000.0,Amex
"Quant Analytics Associate - SQL, SAS/Alteryx/Tableau",Hyderābād,4.1,0,300000,900000,600000.0,JPMorganChase
Assistant Manager - Data Science,Chennai,3.9,0,400000,600000,500000.0,LatentView Analytics
Senior ML Engineer,India,3.8,0,700000,1900000,1300000.0,Samyak Infotech Pvt. Ltd
Senior Machine Learning Engineer - R&D,Bengaluru,4.2,0,600000,900000,750000.0,Quantiphi
Senior Engineer Consultant-Data Science,,4.1,0,500000,1000000,750000.0,Verizon
Senior Machine Learning Operations Engineer,Mumbai,3.9,0,9000000,700000,4850000.0,Digimind
ML Engineer,Bengaluru,4.4,0,100000,800000,450000.0,AceNet
Senior Software Engineer: Data Science,Bengaluru,3.0,0,100000,200000,150000.0,Enphase Energy
Lead - Analytics,Mumbai,3.7,0,200000,600000,400000.0,Bajaj Electricals
Senior AI/ML Engineer – R01551251,Bengaluru,4.0,0,700000,1000000,850000.0,Brillio
Lead Analytics SpecialistNew,Bengaluru,3.6,0,1000000,1000000,1000000.0,Razorpay
